Address,Content,Pattern,Cycle
0x00831,0x00000040,0x00000000,1
0x02f78,0x00008000,0x00000000,1
0x03849,0x00040000,0x00000000,1
0x07ebd,0x00000100,0x00000000,1
0x09332,0x00000300,0x00000000,1
0x09397,0x00000180,0x00000000,1
0x11fa0,0x00400000,0x00000000,1
0x1279d,0x00000200,0x00000000,1
0x12802,0x00000100,0x00000000,1
0x14d77,0x00000040,0x00000000,1
0x14ddc,0x00000020,0x00000000,1
0x154ea,0x00100000,0x00000000,1
0x180b1,0x00001000,0x00000000,1
0x18116,0x00000800,0x00000000,1
0x19aba,0x00000080,0x00000000,1
0x1a058,0xc0000000,0x00000000,1
0x1a059,0x00000001,0x00000000,1
0x1a0bd,0x80000000,0x00000000,1
0x1a0be,0x00000003,0x00000000,1
0x1a41f,0x10000000,0x00000000,1
0x1ae66,0x02000000,0x00000000,1
0x1c89a,0x00000c00,0x00000000,1
0x1c8ff,0x00001800,0x00000000,1
0x1d67c,0x00000040,0x00000000,1
0x22a01,0x04000000,0x00000000,1
0x234c4,0x000000c0,0x00000000,1
0x23529,0x00000060,0x00000000,1
0x2884f,0x00004000,0x00000000,1
0x29527,0x10000000,0x00000000,1
0x2958c,0x20000000,0x00000000,1
0x296de,0x00000400,0x00000000,1
0x29e5d,0x00008000,0x00000000,1
0x2a48c,0x40000000,0x00000000,1
0x2aeb4,0x00100000,0x00000000,1
0x2e3a0,0x00008000,0x00000000,1
0x30004,0x00000001,0x00000000,1
0x361a7,0x00008000,0x00000000,1
0x38a94,0x00000200,0x00000000,1
0x390b9,0x00004000,0x00000000,1
0x3911e,0x00002000,0x00000000,1
0x3a24d,0x00000020,0x00000000,1
0x3a2b2,0x00000010,0x00000000,1
0x3cfb7,0x00000010,0x00000000,1
0x3d01c,0x00000008,0x00000000,1
0x3d721,0x00000010,0x00000000,1
0x43cce,0x00002000,0x00000000,1
0x43d33,0x00001000,0x00000000,1
0x46290,0x20000000,0x00000000,1
0x462f5,0x10000000,0x00000000,1
0x46787,0x01800000,0x00000000,1
0x467ec,0x00c00000,0x00000000,1
0x4bcb2,0x01000000,0x00000000,1
0x4bd17,0x00800000,0x00000000,1
0x4cc5d,0x10000000,0x00000000,1
0x503a4,0x00000002,0x00000000,1
0x51d65,0x00002000,0x00000000,1
0x53f74,0x00000040,0x00000000,1
0x57e8a,0x00000200,0x00000000,1
0x57eef,0x00000100,0x00000000,1
0x5a3c9,0x00000001,0x00000000,1
0x5aefd,0x00000010,0x00000000,1
0x5ca43,0x00000001,0x00000000,1
0x5f4f8,0x0000000c,0x00000000,1
0x5f55d,0x00000004,0x00000000,1
0x5fab9,0x04000000,0x00000000,1
0x5fb1e,0x02000000,0x00000000,1
0x6043f,0x00000080,0x00000000,1
0x65109,0x00400000,0x00000000,1
0x66ab1,0x00000400,0x00000000,1
0x66b16,0x00000200,0x00000000,1
0x71367,0x20000000,0x00000000,1
0x71e69,0x00002000,0x00000000,1
0x71ece,0x00001000,0x00000000,1
0x7497e,0x00040000,0x00000000,1
0x74f96,0x00000001,0x00000000,1
0x75e5c,0x20000000,0x00000000,1
0x75ec1,0x60000000,0x00000000,1
0x78686,0x40000000,0x00000000,1
0x786eb,0x20000000,0x00000000,1
0x7ad7c,0x00040000,0x00000000,1
0x7f3ed,0x00000020,0x00000000,1
0x8367c,0x00000300,0x00000000,1
0x836e1,0x00000180,0x00000000,1
0x837b5,0x80000000,0x00000000,1
0x847ba,0x00002000,0x00000000,1
0x85b58,0x00002000,0x00000000,1
0x8626a,0x20000000,0x00000000,1
0x8966c,0x00200000,0x00000000,1
0x8a422,0x00000100,0x00000000,1
0x8bb07,0x00000400,0x00000000,1
0x8bb6c,0x00000200,0x00000000,1
0x8bd72,0x00030000,0x00000000,1
0x8bdd7,0x00018000,0x00000000,1
0x8c5e3,0x00800000,0x00000000,1
0x8cbd1,0x00000004,0x00000000,1
0x8d788,0x00000020,0x00000000,1
0x8d7ed,0x00000010,0x00000000,1
0x903f6,0x00000001,0x00000000,1
0x93435,0x40000000,0x00000000,1
0x95699,0x08000000,0x00000000,1
0x956fe,0x04000000,0x00000000,1
0x9733e,0x00004000,0x00000000,1
0x9d19b,0x00000100,0x00000000,1
0x9d200,0x00000080,0x00000000,1
0xa2a9c,0x00000040,0x00000000,1
0xa321f,0x00800000,0x00000000,1
0xa7be4,0x00020000,0x00000000,1
0xa8522,0x10000000,0x00000000,1
0xa8a84,0x01000000,0x00000000,1
0xa8d2c,0x01000000,0x00000000,1
0xacf37,0x00000100,0x00000000,1
0xacf9c,0x00000080,0x00000000,1
0xadd01,0x00000002,0x00000000,1
0xafbd9,0x00040000,0x00000000,1
0xb6fd1,0x000e0000,0x00000000,1
0xb7eb2,0x40000000,0x00000000,1
0xb954a,0x00004000,0x00000000,1
0xb975d,0x10000000,0x00000000,1
0xbb1d9,0x20000000,0x00000000,1
0xbb60b,0x00000080,0x00000000,1
0xbbd68,0x00001000,0x00000000,1
0xbbdcd,0x00000800,0x00000000,1
0xbc7be,0x00010000,0x00000000,1
0xbc823,0x00010000,0x00000000,1
